MainMenu_DifficultySelection_1:: "请等房主选择COTF困难"
ItemDataBase_ItemDefinitions_1:: "破碎的人字拖"
ItemDataBase_ItemDefinitions_2:: "一双损坏的鞋子。从它们的状况来看，我可以想象它们的主人发生了什么。"
ItemDataBase_ItemDefinitions_3:: "是埃里克乘坐那架飞机上的一名乘客所穿的。"
ItemDataBase_ItemDefinitions_4:: "老式靴子"
ItemDataBase_ItemDefinitions_5:: "一双旧靴子。它们一定是在这里躺了很久了。"
ItemDataBase_ItemDefinitions_6:: "在半岛上发现的，但从它们的状况来看，它们既不属于飞机乘客，也不属于食人族。"
ItemDataBase_ItemDefinitions_7:: "受损的皮靴"
ItemDataBase_ItemDefinitions_8:: "一双皮靴。它们看起来不错，只有一些划痕。"
ItemDataBase_ItemDefinitions_9:: "他们和埃里克一样到达的半岛。由于他们是在一个行李中，所以避免了很多损失。"
ItemDataBase_ItemDefinitions_10:: "坚固的皮靴"
ItemDataBase_ItemDefinitions_11:: "一双皮靴。它们处于非常好的状态。"
ItemDataBase_ItemDefinitions_12:: "它们和埃里克一样到达的半岛。埃里克发现它们在原来的包装盒里没有被损坏。它们仍然有一个价格标签 - 419,99美元。"
ItemDataBase_ItemDefinitions_13:: "受损的军靴"
ItemDataBase_ItemDefinitions_14:: "结实、坚硬、耐穿但有损坏的靴子。"
ItemDataBase_ItemDefinitions_15:: "它们看起来很现代，对这里的一切来说几乎太现代了。"
ItemDataBase_ItemDefinitions_16:: "军靴"
ItemDataBase_ItemDefinitions_17:: "结实、坚硬、耐穿的靴子。"
ItemDataBase_ItemDefinitions_18:: "Armsy皮鞋"
ItemDataBase_ItemDefinitions_19:: "被切断的手臂和腿，所有的内脏都被移除。只剩下干枯的变异皮肤。"
ItemDataBase_ItemDefinitions_20:: "Armsy，变异人中第二重的怪物，具有非常厚的皮肤。它在移动时经常把腿拖在地上。它们腿上的皮肤长得非常厚，而且有骨组织与皮肤组织混合。"
ItemDataBase_ItemDefinitions_21:: "暖指套"
ItemDataBase_ItemDefinitions_22:: "一只小手套，让你的手指温暖舒适。"
ItemDataBase_ItemDefinitions_23:: "由羊毛制成。"
ItemDataBase_ItemDefinitions_24:: "厚橡胶手套"
ItemDataBase_ItemDefinitions_25:: "一个有助于获得更好抓地力的手套。"
ItemDataBase_ItemDefinitions_26:: "部落手套"
ItemDataBase_ItemDefinitions_27:: "提供医疗保护。"
ItemDataBase_ItemDefinitions_28:: "用薄薄骨头做成的手套，有些可能是人类的。"
ItemDataBase_ItemDefinitions_29:: "部落领袖手套"
ItemDataBase_ItemDefinitions_30:: "一只提供很少保护但有很多攻击性数据的手套。"
ItemDataBase_ItemDefinitions_31:: "由骨头制成的手套，有的还刻有十字架的图案。"
ItemDataBase_ItemDefinitions_32:: "磨损的短裤"
ItemDataBase_ItemDefinitions_33:: "对腿部有一定的保护。"
ItemDataBase_ItemDefinitions_34:: "短小，用廉价的薄布料制成，而且还被损坏。但总比没有好。"
ItemDataBase_ItemDefinitions_35:: "货物短裤"
ItemDataBase_ItemDefinitions_36:: "没有任何保护，但允许携带更多物品。"
ItemDataBase_ItemDefinitions_37:: "他们丑得要命"
ItemDataBase_ItemDefinitions_38:: "乘客夹克"
ItemDataBase_ItemDefinitions_39:: "它有点破了。"
ItemDataBase_ItemDefinitions_40:: "这件夹克衫是飞机上第34位乘客普雷斯顿穿的。埃里克在机场和他交谈过。这家伙很古怪，但他现在已经死了。"
ItemDataBase_ItemDefinitions_41:: "皮夹克"
ItemDataBase_ItemDefinitions_42:: "提供的保护很少"
ItemDataBase_ItemDefinitions_43:: "这件夹克衫放在一位飞机乘客的行李箱里"
ItemDataBase_ItemDefinitions_44:: "野猪皮甲"
ItemDataBase_ItemDefinitions_45:: "它是由一个巨大个体的皮肤制成的。它又重又厚，肯定能抵御较弱敌人的攻击。"
ItemDataBase_ItemDefinitions_46:: "野猪是半岛上的一种动物，非常罕见，它的皮肤非常耐用。"
ItemDataBase_ItemDefinitions_47:: "鳄鱼皮甲"
ItemDataBase_ItemDefinitions_48:: "板甲"
ItemDataBase_ItemDefinitions_49:: "熊皮盔甲"
ItemDataBase_ItemDefinitions_50:: "弓箭手的装备"
ItemDataBase_ItemDefinitions_51:: "危险的装备"
ItemDataBase_ItemDefinitions_52:: "神秘的长袍"
ItemDataBase_ItemDefinitions_53:: "魔法贯穿整个物体。它是由未知材料制成的"
ItemDataBase_ItemDefinitions_54:: "长袍看起来像是昨天创造的，但它比人类最古老的文明还要古老。仅仅看一眼就让脊椎发凉。"
ItemDataBase_ItemDefinitions_55:: "赋予灾难力量。漩涡变蓝，伤害增加，冻结敌人"
ItemDataBase_ItemDefinitions_56:: "生锈的长剑"
ItemDataBase_ItemDefinitions_57:: "一把又长又重的剑。边缘随着时间的推移变得钝了。不过，它的状态还是能让我把一些敌人切成两半。"
ItemDataBase_ItemDefinitions_58:: "这把剑看起来是中世纪的，其实不然。它是后来制作的。它从未在战斗中作为武器使用，因为它只是一种装饰。"
ItemDataBase_ItemDefinitions_59:: "长剑"
ItemDataBase_ItemDefinitions_60:: "锋利且修长"
ItemDataBase_ItemDefinitions_61:: "这把剑非常锋利。"
ItemDataBase_ItemDefinitions_62:: "全金属剑"
ItemDataBase_ItemDefinitions_63:: "它太大了。。。"
ItemDataBase_ItemDefinitions_64:: "一个普通人不能举起这个。"
ItemDataBase_ItemDefinitions_65:: "医生"
ItemDataBase_ItemDefinitions_66:: "嘿，我的健康去哪儿了 -- 哦，它回来了..."
ItemDataBase_ItemDefinitions_67:: "SmokeyTheBear的圣物箱"
ItemDataBase_ItemDefinitions_68:: "SmokeyTheBear死了，因为他从来没有用过这个东西。"
ItemDataBase_ItemDefinitions_69:: "Hazard的朋友Smokey是万能的，他可以在弹指间创造任何武器。Hazard想起了Smokey最喜欢的游戏风格，他把这个作为礼物送给他，以清除变异人。"
ItemDataBase_ItemDefinitions_70:: "十字弩的射击速度为 <color=gold>{0}</color> ， 造成的伤害增加<color=gold>{1}</color>"
ItemDataBase_ItemDefinitions_71:: "破损的盾牌"
ItemDataBase_ItemDefinitions_72:: "巨型盾牌"
ItemDataBase_ItemDefinitions_73:: "破皮肩甲"
ItemDataBase_ItemDefinitions_74:: "皮革肩甲"
ItemDataBase_ItemDefinitions_75:: "Phase肩甲"
ItemDataBase_ItemDefinitions_76:: "瞬移距离增加 <color=gold>{}</color> 米, 瞬移现在可以对路径上所有的物体造成伤害"
ItemDataBase_ItemDefinitions_77:: "MAGA帽子"
ItemDataBase_ItemDefinitions_78:: "穿上这件衣服，你就会感受到D·特朗普的力量"
ItemDataBase_ItemDefinitions_79:: "…还是真的？"
ItemDataBase_ItemDefinitions_80:: "哈勃的视野"
ItemDataBase_ItemDefinitions_81:: "佩戴此物品可增强你的黑洞法术。"
ItemDataBase_ItemDefinitions_82:: "伙计，去他的重力。"
ItemDataBase_ItemDefinitions_83:: "断环"
ItemDataBase_ItemDefinitions_84:: "环"
ItemDataBase_ItemDefinitions_85:: "有毒戒指"
ItemDataBase_ItemDefinitions_86:: "这句话差点让你失望，也许你他妈的会闭嘴。但你不能，你没有，现在你要付出代价，你这个该死的白痴。我会把愤怒撒在你身上，你就会被它淹死。你他妈的死了，孩子。"
ItemDataBase_ItemDefinitions_87:: "你他妈的刚才说我什么了，你这个小婊子？我要让你知道，我是海豹突击队中毕业的佼佼者，我参与了无数次对基地组织的秘密突袭，我有超过300次的确认杀伤。我接受过大猩猩作战的训练，我是整个美国武装力量中最顶尖的狙击手。对我来说，你什么都不是，只是另一个目标而已。我将以地球上从未见过的精准度把你消灭掉，记住我他妈的的话。你以为在互联网上对我说这些话就能逃过一劫？再想想吧，混蛋。就在我们说话的时候，我正在联系我在美国各地的秘密间谍网络，你的IP现在正在被追踪，所以你最好准备好迎接风暴，蛆虫。这场风暴将消灭你所谓的可悲的小东西，你的生活。你他妈的死定了，孩子。我可以在任何地方，任何时间，以超过七百种方式杀死你，这还只是用我的手。我不仅接受过广泛的徒手格斗训练，而且我可以使用美国海军陆战队的全部武器库，我将充分使用它，把你这个可怜的屁股从大陆上抹去，你这个小混蛋。如果你能知道你那句小小的 "聪明 "话会给你带来怎样的恶报，也许你会忍住不说。但你不能，你没有，现在你正在付出代价，你这个该死的白痴。我将在你身上拉出愤怒的屎，你将淹没在其中。你他妈的死定了，小子。"
ItemDataBase_ItemDefinitions_88:: "围巾"
ItemDataBase_ItemDefinitions_89:: "受损的护腕"
ItemDataBase_ItemDefinitions_90:: "磨损的护腕"
ItemDataBase_ItemDefinitions_91:: "皮制护腕"
ItemDataBase_ItemDefinitions_92:: "大变异心脏"
ItemDataBase_ItemDefinitions_93:: "可以通过右键点击来使用它"
ItemDataBase_ItemDefinitions_94:: "小变异心脏"
ItemDataBase_ItemDefinitions_95:: "尖头戒指"
ItemDataBase_ItemDefinitions_96:: "近战或远程武器穿甲"
ItemDataBase_ItemDefinitions_97:: "穿刺者"
ItemDataBase_ItemDefinitions_98:: "月球靴"
ItemDataBase_ItemDefinitions_99:: "一双来自月球的靴子。"
ItemDataBase_ItemDefinitions_100:: "据说穿上这双靴子的人不会受到坠落伤害，而且会像在月球上一样跳跃，我不相信它会这么难。"
ItemDataBase_ItemDefinitions_101:: "力量金戒指"
ItemDataBase_ItemDefinitions_102:: "古代的戒指。"
ItemDataBase_ItemDefinitions_103:: "一个看起来简单优雅的金戒指，给人的感觉却很强大。"
ItemDataBase_ItemDefinitions_104:: "活力金戒指"
ItemDataBase_ItemDefinitions_105:: "敏捷金戒指"
ItemDataBase_ItemDefinitions_106:: "智慧金戒指"
ItemDataBase_ItemDefinitions_107:: "力量银戒指"
ItemDataBase_ItemDefinitions_108:: "一枚看起来简单优雅的银戒指，但给人的感觉却很强烈。"
ItemDataBase_ItemDefinitions_109:: "活力银戒指"
ItemDataBase_ItemDefinitions_110:: "敏捷银戒指"
ItemDataBase_ItemDefinitions_111:: "智慧银戒指"
ItemDataBase_ItemDefinitions_112:: "力量铁戒指"
ItemDataBase_ItemDefinitions_113:: "一个看起来简单优雅的钢圈，但给人感觉依旧很强大。"
ItemDataBase_ItemDefinitions_114:: "活力铁戒指"
ItemDataBase_ItemDefinitions_115:: "敏捷铁戒指"
ItemDataBase_ItemDefinitions_116:: "智慧铁戒指"
ItemDataBase_ItemDefinitions_117:: "统治一切的戒指"
ItemDataBase_ItemDefinitions_118:: "一枚具有巨大力量的古代魔法戒指。"
ItemDataBase_ItemDefinitions_119:: "它看起来像一个普通的戒指，但有一种奇怪的能量围绕着它。据说这枚戒指是由一位考古学家在火山岩中发现的，他在多年前发疯了，把自己隔离在半岛上。但这只是一个童话故事，戒指？"
ItemDataBase_ItemDefinitions_120:: "吸引了未知实体不必要的注意。"
ItemDataBase_ItemDefinitions_121:: "力量金吊坠"
ItemDataBase_ItemDefinitions_122:: "一个古代的吊坠。"
ItemDataBase_ItemDefinitions_123:: "一个金色的吊坠，看起来简单而优雅，但触摸起来却充满力量。"
ItemDataBase_ItemDefinitions_124:: "活力金吊坠"
ItemDataBase_ItemDefinitions_125:: "敏捷金吊坠"
ItemDataBase_ItemDefinitions_126:: "智慧金吊坠"
ItemDataBase_ItemDefinitions_127:: "力量银吊坠"
ItemDataBase_ItemDefinitions_128:: "一个看起来简单优雅的银，但触感却很强大。"
ItemDataBase_ItemDefinitions_129:: "活力银吊坠"
ItemDataBase_ItemDefinitions_130:: "敏捷银吊坠"
ItemDataBase_ItemDefinitions_131:: "智慧银吊坠"
ItemDataBase_ItemDefinitions_132:: "力量翡翠吊坠"
ItemDataBase_ItemDefinitions_133:: "一个古代的吊坠。"
ItemDataBase_ItemDefinitions_134:: "祖母绿吊坠看起来简单而优雅，但触摸起来却充满力量。"
ItemDataBase_ItemDefinitions_135:: "活力翡翠吊坠"
ItemDataBase_ItemDefinitions_136:: "敏捷翡翠吊坠"
ItemDataBase_ItemDefinitions_137:: "智慧翡翠吊坠"
ItemDataBase_ItemDefinitions_138:: "力量钻石吊坠"
ItemDataBase_ItemDefinitions_139:: "一款钻石吊坠，看起来简单而优雅，但摸起来却很有力量。"
ItemDataBase_ItemDefinitions_140:: "活力钻石吊坠"
ItemDataBase_ItemDefinitions_141:: "敏捷钻石吊坠"
ItemDataBase_ItemDefinitions_142:: "智慧钻石吊坠"
ItemDataBase_ItemDefinitions_143:: "手指项链"
ItemDataBase_ItemDefinitions_144:: "一条饰有手臂指尖的项链。"
ItemDataBase_ItemDefinitions_145:: "由臂膀指尖制成的项链，具有原始的力量和强度。"
ItemDataBase_ItemDefinitions_146:: "弗吉尼亚心形吊坠"
ItemDataBase_ItemDefinitions_147:: "一颗石化的弗吉尼亚州心脏的吊坠。"
ItemDataBase_ItemDefinitions_148:: "一个由石化的弗吉尼亚心脏制成的吊坠，传递着它的爱和生命力。"
ItemDataBase_ItemDefinitions_149:: "牛仔脚趾项链"
ItemDataBase_ItemDefinitions_150:: "用牛仔脚趾装饰的项链。"
ItemDataBase_ItemDefinitions_151:: "由臂膀的指尖制成的项链，具有速度和敏捷性。"
ItemDataBase_ItemDefinitions_152:: "永生吊坠"
ItemDataBase_ItemDefinitions_153:: "一个萎缩的婴儿的吊坠。"
ItemDataBase_ItemDefinitions_154:: "一个拥有强大力量的研究。只能从婴儿或手工艺品中获得"
ItemDataBase_ItemDefinitions_155:: "每当你用近战或远程攻击击中某物时，随机减少{0}秒的冷却时间。"
ItemDataBase_ItemDefinitions_156:: "梅根的吊坠"
ItemDataBase_ItemDefinitions_157:: "梅根佩戴的吊坠。"
ItemDataBase_ItemDefinitions_158:: "梅根戴着这个吊坠，里面有一张她妈妈的照片。"
ItemDataBase_ItemDefinitions_159:: "遗迹之锤"
ItemDataBase_ItemDefinitions_160:: "它又慢又弱。"
ItemDataBase_ItemDefinitions_161:: "命中后减速敌人"
ItemDataBase_ItemDefinitions_162:: "黑色锤子"
ItemDataBase_ItemDefinitions_163:: "它很慢，但有足够的力量，我可以使它成为一个非常致命的工具"
ItemDataBase_ItemDefinitions_164:: "马铃薯袋"
ItemDataBase_ItemDefinitions_165:: "可作为箭筒使用"
ItemDataBase_ItemDefinitions_166:: "兔皮箭筒"
ItemDataBase_ItemDefinitions_167:: "空心圆木"
ItemDataBase_ItemDefinitions_168:: "与布质箭筒相比，它能更快地拔出箭。"
ItemDataBase_ItemDefinitions_169:: "魅惑箭袋"
ItemDataBase_ItemDefinitions_170:: "遗失的箭筒"
ItemDataBase_ItemDefinitions_171:: "魔法卷轴"
ItemDataBase_ItemDefinitions_172:: "包含了很多关于如何正确施法以达到更好效果的信息"
ItemDataBase_ItemDefinitions_173:: "布质长裤"
ItemDataBase_ItemDefinitions_174:: "提供少量保护"
ItemDataBase_ItemDefinitions_175:: "粗糙皮裤"
ItemDataBase_ItemDefinitions_176:: "板条裤"
ItemDataBase_ItemDefinitions_177:: "贤者长袍"
ItemDataBase_ItemDefinitions_178:: "干扰锤"
ItemDataBase_ItemDefinitions_179:: "你的Bash伤害增加 <color=gold>{0}</color>, 锤子眩晕持续时间加倍"
ItemDataBase_ItemDefinitions_180:: "海盗裤"
ItemDataBase_ItemDefinitions_181:: "那些裤子又轻又舒服。它们提供了足够的灵活性，但缺乏保护。"
ItemDataBase_ItemDefinitions_182:: "M先生的六角裤。"
ItemDataBase_ItemDefinitions_183:: "它们看起来像瑜伽裤，对于男人的体型来说。"
ItemDataBase_ItemDefinitions_184:: "很久以前，有一个人在地下室里，只用金块喂养自己。他变得如此肥胖，以至于朋友和家人开始担心。Hazard注意到了这个人，并诅咒他的裤子，迫使他锻炼身体。"
ItemDataBase_ItemDefinitions_185:: "移动时，能量恢复和伤害增加 <color=gold>{0}</color>. 当静止超过一秒钟时，你每秒会失去{1}的最大生命值。"
ItemDataBase_ItemDefinitions_186:: "皮革外套"
ItemDataBase_ItemDefinitions_187:: "一块布，给于一定保护"
ItemDataBase_ItemDefinitions_188:: "护肩"
ItemDataBase_ItemDefinitions_189:: "中等护甲。"
ItemDataBase_ItemDefinitions_190:: "重甲"
ItemDataBase_ItemDefinitions_191:: "重型肩甲"
ItemDataBase_ItemDefinitions_192:: "重型装甲。它们以降低攻击速度和移动速度为代价提供强大的保护。"
ItemDataBase_ItemDefinitions_193:: "风化斗篷"
ItemDataBase_ItemDefinitions_194:: "这些斗篷赋予穿戴者战斗技能"
ItemDataBase_ItemDefinitions_195:: "刺客肩甲"
ItemDataBase_ItemDefinitions_196:: "死亡契约"
ItemDataBase_ItemDefinitions_197:: "在生死边缘找到最大的力量。"
ItemDataBase_ItemDefinitions_198:: "你每次攻击都会降低你<color=gold>{0}</color>的生命上限。每损失百分之一的生命值，获得{1}伤害增益。这种伤害不会使你死亡。"
ItemDataBase_ItemDefinitions_199:: "最大质量"
ItemDataBase_ItemDefinitions_200:: "一枚铂金戒指，上面刻着最昂贵的珠宝。它的质量是无可比拟的。"
ItemDataBase_ItemDefinitions_201:: "纯洁之心"
ItemDataBase_ItemDefinitions_202:: "一个充满破坏性和创造性能量的物体。允许重新分配所有花费的突变点"
ItemDataBase_ItemDefinitions_203:: "这个强大的遗物含有如此多的力量，它可以杀死任何东西并迫使其复活。"
ItemDataBase_ItemDefinitions_204:: "可以通过右键单击它来使用它。"
ItemDataBase_ItemDefinitions_205:: "圆盾"
ItemDataBase_ItemDefinitions_206:: "由木头制成并用铁加固的坚固盾牌。"
ItemDataBase_ItemDefinitions_207:: "古老圆盾"
ItemDataBase_ItemDefinitions_208:: "一个古老的盾牌。"
ItemDataBase_ItemDefinitions_209:: "这个物品有很多划痕，看起来像是被有锋利爪子的东西划伤的。"
ItemDataBase_ItemDefinitions_210:: "深橡木盾"
ItemDataBase_ItemDefinitions_211:: "骨盾"
ItemDataBase_ItemDefinitions_212:: "一个由骨头组成的盾牌，由粗大的钢丝固定在一起。"
ItemDataBase_ItemDefinitions_213:: "钝长剑"
ItemDataBase_ItemDefinitions_214:: "它的边缘是圆的"
ItemDataBase_ItemDefinitions_215:: "铁角号"
ItemDataBase_ItemDefinitions_216:: "当使用战争呐喊时，你和所有盟友获得相当于你护甲<color=gold>{0}</color>的护甲奖励。"
ItemDataBase_ItemDefinitions_217:: "大铁号角"
ItemDataBase_ItemDefinitions_218:: "带角头盔"
ItemDataBase_ItemDefinitions_219:: "维京人的头盔"
ItemDataBase_ItemDefinitions_220:: "面具"
ItemDataBase_ItemDefinitions_221:: "疯狂面具"
ItemDataBase_ItemDefinitions_222:: "旧卷轴"
ItemDataBase_ItemDefinitions_223:: "虫洞稳定器"
ItemDataBase_ItemDefinitions_224:: "高科技装备"
ItemDataBase_ItemDefinitions_225:: "Hazard记得在这里放了一些该死的传说，别这样丢下它！"
ItemDataBase_ItemDefinitions_226:: "将传送门的持续时间增加<color=gold>{0}</color>秒。"
ItemDataBase_ItemDefinitions_227:: "残废者"
ItemDataBase_ItemDefinitions_228:: "将魔法箭对敌人的负面效果的持续时间增加<color=gold>{0}</color>秒。"
ItemDataBase_ItemDefinitions_229:: "交叉火力"
ItemDataBase_ItemDefinitions_230:: "充满了强大的魔法。这是一种危险的破坏工具。"
ItemDataBase_ItemDefinitions_231:: "当用投射物击中敌人时，创造一支指向敌人的魔法箭，并在不使用能量的情况下射出。这种效果可每<color=gold>2</color>秒触发一次，但间隔可以随着冷却时间的减少而缩短。"
ItemDataBase_ItemDefinitions_232:: "恢复卷轴"
ItemDataBase_ItemDefinitions_233:: "恢复健康和耐力"
ItemDataBase_ItemDefinitions_234:: "皇冠"
ItemDataBase_ItemDefinitions_235:: "一个美丽的头饰 "
ItemDataBase_ItemDefinitions_236:: "这个头饰可能不会提供太多保护，但它确实很漂亮"
ItemDataBase_ItemDefinitions_237:: "闪亮的"
ItemDataBase_ItemDefinitions_238:: "贞操带"
ItemDataBase_ItemDefinitions_239:: "躲开那些蠢货"
ItemDataBase_ItemDefinitions_240:: "这条腰带可以防止那些无耻的食人族和手臂进入你的裤子"
ItemDataBase_ItemDefinitions_241:: " <color=gold>{0}</color> 睡眠时伤害减少"
ItemDataBase_ItemDefinitions_242:: "冰雪卷轴"
ItemDataBase_ItemDefinitions_243:: "一个被飞舞冰块包围的卷轴，蕴含着巨大的寒冰力量。"
ItemDataBase_ItemDefinitions_244:: "创造于山顶。"
ItemDataBase_ItemDefinitions_245:: "摩托艇改装蓝图"
ItemDataBase_ItemDefinitions_246:: "允许将任何木筏提高速度的图纸。增加携带量并提高木筏的速度。"
ItemDataBase_ItemDefinitions_247:: "这是谁干的，笑死人了。"
ItemDataBase_ItemDefinitions_248:: "迅捷之斧"
ItemDataBase_ItemDefinitions_249:: "更严重"
ItemDataBase_ItemDefinitions_250:: "财富金斧头"
ItemDataBase_ItemDefinitions_251:: "不幸之斧"
ItemDataBase_ItemDefinitions_252:: "不幸的是那些被砍的人。他们会流很多血"
ItemDataBase_ItemDefinitions_253:: "金戒指"
ItemDataBase_ItemDefinitions_254:: "金吊坠"
ItemDataBase_ItemDefinitions_255:: "钝斧"
ItemDataBase_ItemDefinitions_256:: "精确调整"
ItemDataBase_ItemDefinitions_257:: "专注技能的攻击速度BUFF持续时间增加<color=gold>{0}</color>秒。"
ItemDataBase_ItemDefinitions_258:: "愤怒"
ItemDataBase_ItemDefinitions_259:: "增加怒意的最大层数<color=gold>{0}</color>。"
ItemDataBase_ItemDefinitions_260:: "剑走偏锋"
ItemDataBase_ItemDefinitions_261:: "锯齿状的边缘"
ItemDataBase_ItemDefinitions_262:: "Bash有<color=gold>{0}</color>的几率使敌人流血，减速期间每秒受到<color=gold>{1}</color>的伤害。"
ItemDataBase_ItemDefinitions_263:: "嗜血者"
ItemDataBase_ItemDefinitions_264:: "沾满了许多不幸敌人的血。"
ItemDataBase_ItemDefinitions_265:: "Bash造成的伤害<color=gold>{0}</color>转化为能量和健康值。"
ItemDataBase_ItemDefinitions_266:: "冰霜巨人"
ItemDataBase_ItemDefinitions_267:: "近战命中后会冻结敌人"
ItemDataBase_ItemDefinitions_268:: "亚历山大的盾牌"
ItemDataBase_ItemDefinitions_269:: "招架时有几率施放。需要装备招架技能才会触发"
ItemDataBase_ItemDefinitions_270:: "克瑞国王"
ItemDataBase_ItemDefinitions_271:: "一把强大的剑在寻找它的主人"
ItemDataBase_ItemDefinitions_272:: "获得与所受最后一次物理伤害相等的额外近战伤害。"
ItemDataBase_ItemDefinitions_273:: "索拉之握"
ItemDataBase_ItemDefinitions_274:: "看，一只豪猪! -索拉"
ItemDataBase_ItemDefinitions_275:: "多发消耗<color=gold>{0}</color>的能量，并射出<color=gold>+4</color>的弹丸。额外的投射物不会增加多发的成本。"
ItemDataBase_ItemDefinitions_276:: "古代大弓"
ItemDataBase_ItemDefinitions_277:: "一个巨大而缓慢的弓，造成额外的伤害"
ItemDataBase_ItemDefinitions_278:: "凤凰之死"
ItemDataBase_ItemDefinitions_279:: "命中时点燃敌人"
ItemDataBase_ItemDefinitions_280:: "灵魂之弦"
ItemDataBase_ItemDefinitions_281:: "一个巨大而缓慢的弓箭"
ItemDataBase_ItemDefinitions_282:: "血箭现在每消耗一点生命值会造成额外的<color=gold>{0}</color>点伤害。"
ItemDataBase_ItemDefinitions_283:: "巨弓"
ItemDataBase_ItemDefinitions_284:: "枯萎皇冠"
ItemDataBase_ItemDefinitions_285:: "由Hazard佩戴。"
ItemDataBase_ItemDefinitions_286:: "血箭一次施放可以影响<color=gold>{0}</color>个多发射弹。"
ItemDataBase_ItemDefinitions_287:: "新手魔法师护腕"
ItemDataBase_ItemDefinitions_288:: "游侠护腕"
ItemDataBase_ItemDefinitions_289:: "剑客护腕"
ItemDataBase_ItemDefinitions_290:: "治疗师护腕"
ItemDataBase_ItemDefinitions_291:: "新手魔法师手套"
ItemDataBase_ItemDefinitions_292:: "游侠手套"
ItemDataBase_ItemDefinitions_293:: "剑客手套"
ItemDataBase_ItemDefinitions_294:: "治疗师手套"
ItemDataBase_ItemDefinitions_295:: "宿命手套"
ItemDataBase_ItemDefinitions_296:: "命运之靴"
ItemDataBase_ItemDefinitions_297:: "贪婪"
ItemDataBase_ItemDefinitions_298:: "每秒自动拾取范围物品"
ItemDataBase_ItemDefinitions_299:: "钛合金护腿"
ItemDataBase_ItemDefinitions_300:: "厚重的装甲护腿。与斯巴达盔甲有相同的弱点。"
ItemDataBase_ItemDefinitions_301:: "铁铠甲"
ItemDataBase_ItemDefinitions_302:: "法师手套"
ItemDataBase_ItemDefinitions_303:: "能增强魔法的手套"
ItemDataBase_ItemDefinitions_304:: "法术造成<color=gold>双倍的</color>伤害，但有双倍的能量消耗。"
ItemDataBase_ItemDefinitions_305:: "铠甲靴"
ItemDataBase_ItemDefinitions_306:: "厚重的装甲，抗损伤的靴子。"
ItemDataBase_ItemDefinitions_307:: "破损盾牌"
ItemDataBase_ItemDefinitions_308:: "这个盾牌没能保护后面的人。"
ItemDataBase_ItemDefinitions_309:: "禁忌卷轴"
ItemDataBase_ItemDefinitions_310:: "太强大了，无法保留。"
ItemDataBase_ItemDefinitions_311:: "毁灭肩甲"
ItemDataBase_ItemDefinitions_312:: "尽管名字很酷，但它们完全是一对普通的肩甲。"
ItemDataBase_ItemDefinitions_313:: "风之盔甲"
ItemDataBase_ItemDefinitions_314:: "跑得像风一样快"
ItemDataBase_ItemDefinitions_315:: "躲避攻击时，获得{0}移动速度，{1}伤害，{2}护甲，以及治疗{3}最大生命值。"
ItemDataBase_ItemDefinitions_316:: "十字军头盔"
ItemDataBase_ItemDefinitions_317:: "你在为十字军附近的人胡说八道"
ItemDataBase_ItemDefinitions_318:: "头巾"
ItemDataBase_ItemDefinitions_319:: "帽子提供有用的属性加成"
ItemDataBase_ItemDefinitions_320:: "黑暗中的闪光"
ItemDataBase_ItemDefinitions_321:: "质量上乘的魔法卷轴"
ItemDataBase_ItemDefinitions_322:: "用一种无法理解的语言书写。解读这段文字是不可能的，充分运用这卷书也是不可能的。"
ItemDataBase_ItemDefinitions_323:: "如果黑洞在其生命期内击中{0}或更多的敌人，在其结束后会召唤出一个球状闪电。"
ItemDataBase_ItemDefinitions_324:: "炼狱"
ItemDataBase_ItemDefinitions_325:: "金色戒指，触感刺骨。这东西只会带来伤害，但不会伤害佩戴者"
ItemDataBase_ItemDefinitions_326:: "用下界合金制成的戒指"
ItemDataBase_ItemDefinitions_327:: "净化会增加你所有的伤害，基于缺失的健康。最多可以达到{0}。"
ItemDataBase_ItemDefinitions_328:: "爆发"
ItemDataBase_ItemDefinitions_329:: "毁灭的化身"
ItemDataBase_ItemDefinitions_330:: "爆头会引起爆炸"
ItemDataBase_ItemDefinitions_331:: "大天使"
ItemDataBase_ItemDefinitions_332:: "传播善良"
ItemDataBase_ItemDefinitions_333:: "射击另一名玩家会使其在{0}秒内获得巨大的力量。"
ItemDataBase_ItemDefinitions_334:: "刽子手"
ItemDataBase_ItemDefinitions_335:: "一把斩首用的剑"
ItemDataBase_ItemDefinitions_336:: "月亮胸甲"
ItemDataBase_ItemDefinitions_337:: "一件为弓箭手设计的盔甲。"
ItemDataBase_ItemDefinitions_338:: "在大于{0}英尺的距离以外，没有寻踪箭效果的箭命中头部，造成10倍的伤害，并额外击中敌人两次"
ItemDataBase_ItemDefinitions_339:: "荆棘信使"
ItemDataBase_ItemDefinitions_340:: "外面死了，里面很舒服"
ItemDataBase_ItemDefinitions_341:: "荆棘造成双重伤害"
ItemDataBase_ItemDefinitions_342:: "生锈长柄"
ItemDataBase_ItemDefinitions_343:: "Ubersreik五人组使用"
ItemDataBase_ItemDefinitions_344:: "巨大的杆状武器"
ItemDataBase_ItemDefinitions_345:: "克鲁伯爵士使用"
ItemDataBase_ItemDefinitions_346:: "粗糙羽毛"
ItemDataBase_ItemDefinitions_347:: "材料可以放在空的插槽里，以增加物品的属性。"
ItemDataBase_ItemDefinitions_348:: "柔软羽毛"
